,x,y
0,0,223.0
1,1,224.0
2,2,224.0
3,3,225.0
4,4,224.0
5,5,224.0
6,6,224.0
7,7,222.0
8,8,224.0
9,9,223.0
10,10,224.0
11,11,223.0
12,12,224.0
13,13,223.0
14,14,224.0
15,15,224.0
16,16,224.0
17,17,223.0
18,18,224.0
19,19,223.0
20,20,224.0
21,21,224.0
22,22,224.0
23,23,224.0
24,24,224.0
25,25,223.0
26,26,224.0
27,27,224.0
28,28,381.0
29,29,383.0
30,30,385.0
31,31,385.0
32,32,381.0
33,33,384.0
34,34,382.0
35,35,382.0
36,36,383.0
37,37,382.0
38,38,380.0
39,39,381.0
40,40,382.0
41,41,381.0
42,42,382.0
43,43,382.0
44,44,383.0
45,45,381.0
46,46,384.0
47,47,381.0
48,48,383.0
49,49,383.0
50,50,382.0
51,51,381.0
52,52,382.0
53,53,381.0
54,54,382.0
55,55,384.0
56,56,383.0
57,57,384.0
58,58,383.0
59,59,382.0
60,60,382.0
61,61,383.0
62,62,384.0
63,63,384.0
64,64,385.0
65,65,384.0
66,66,384.0
67,67,384.0
68,68,384.0
69,69,384.0
70,70,384.0
71,71,384.0
72,72,384.0
73,73,384.0
74,74,383.0
75,75,383.0
76,76,383.0
77,77,383.0
78,78,382.0
79,79,382.0
80,80,383.0
81,81,382.0
82,82,383.0
83,83,385.0
84,84,384.0
85,85,384.0
86,86,384.0
87,87,384.0
88,88,385.0
89,89,385.0
90,90,384.0
91,91,384.0
92,92,383.0
93,93,383.0
94,94,382.0
95,95,382.0
96,96,383.0
97,97,384.0
98,98,384.0
99,99,383.0
100,100,383.0
101,101,383.0
102,102,382.0
103,103,382.0
104,104,382.0
105,105,384.0
106,106,384.0
107,107,384.0
108,108,384.0
109,109,384.0
110,110,384.0
111,111,384.0
112,112,384.0
113,113,383.0
114,114,382.0
115,115,382.0
116,116,382.0
117,117,382.0
118,118,223.0
119,119,222.0
120,120,386.0
121,121,224.0
122,122,223.0
123,123,223.0
124,124,223.0
125,125,223.0
126,126,222.0
127,127,401.0
128,128,223.0
129,129,223.0
130,130,223.0
131,131,222.0
132,132,410.0
133,133,223.0
134,134,222.0
135,135,413.0
136,136,223.0
137,137,223.0
138,138,223.0
139,139,223.0
140,140,423.0
141,141,224.0
142,142,223.0
143,143,223.0
144,144,223.0
145,145,222.0
146,146,222.0
147,147,437.0
148,148,223.0
149,149,224.0
150,150,223.0
151,151,222.0
152,152,446.0
153,153,223.0
154,154,223.0
155,155,223.0
156,156,224.0
157,157,223.0
158,158,223.0
159,159,462.0
160,160,224.0
161,161,223.0
162,162,223.0
163,163,222.0
164,164,470.0
165,165,223.0
166,166,223.0
167,167,222.0
168,168,476.0
169,169,223.0
170,170,222.0
171,171,223.0
172,172,224.0
173,173,223.0
174,174,489.0
175,175,224.0
176,176,222.0
177,177,222.0
178,178,495.0
179,179,223.0
180,180,223.0
181,181,223.0
182,182,502.0
183,183,223.0
184,184,223.0
185,185,223.0
186,186,511.0
187,187,223.0
188,188,512.0
189,189,224.0
190,190,513.0
191,191,512.0
192,192,223.0
193,193,222.0
194,194,517.0
195,195,517.0
196,196,224.0
197,197,223.0
198,198,521.0
199,199,521.0
200,200,223.0
201,201,223.0
202,202,526.0
203,203,223.0
204,204,223.0
205,205,223.0
206,206,535.0
207,207,534.0
208,208,224.0
209,209,223.0
210,210,222.0
211,211,541.0
212,212,224.0
213,213,223.0
214,214,223.0
215,215,223.0
216,216,223.0
217,217,554.0
218,218,224.0
219,219,224.0
220,220,223.0
221,221,223.0
222,222,223.0
223,223,223.0
224,224,569.0
225,225,224.0
226,226,223.0
227,227,223.0
228,228,224.0
229,229,223.0
230,230,223.0
231,231,584.0
232,232,224.0
233,233,223.0
234,234,224.0
235,235,223.0
236,236,223.0
237,237,223.0
238,238,599.0
239,239,224.0
240,240,223.0
241,241,222.0
242,242,604.0
243,243,223.0
244,244,223.0
245,245,223.0
246,246,222.0
247,247,222.0
248,248,616.0
249,249,223.0
250,250,223.0
251,251,223.0
252,252,223.0
253,253,223.0
254,254,222.0
255,255,631.0
256,256,223.0
257,257,223.0
258,258,222.0
259,259,222.0
260,260,222.0
261,261,643.0
262,262,223.0
263,263,223.0
264,264,222.0
265,265,223.0
266,266,653.0
267,267,224.0
268,268,223.0
269,269,224.0
270,270,223.0
271,271,223.0
272,272,222.0
273,273,667.0
274,274,223.0
275,275,223.0
276,276,223.0
277,277,223.0
278,278,677.0
279,279,225.0
280,280,224.0
281,281,223.0
282,282,223.0
283,283,223.0
284,284,689.0
285,285,224.0
286,286,223.0
287,287,223.0
288,288,223.0
289,289,223.0
290,290,223.0
291,291,704.0
292,292,224.0
293,293,223.0
294,294,223.0
295,295,223.0
296,296,222.0
297,297,715.0
298,298,223.0
299,299,223.0
300,300,223.0
301,301,223.0
302,302,223.0
303,303,728.0
304,304,223.0
305,305,223.0
306,306,223.0
307,307,222.0
308,308,223.0
309,309,223.0
310,310,222.0
311,311,745.0
312,312,223.0
313,313,222.0
314,314,223.0
315,315,223.0
316,316,755.0
317,317,224.0
318,318,223.0
319,319,222.0
320,320,223.0
321,321,223.0
322,322,223.0
323,323,770.0
324,324,224.0
325,325,223.0
326,326,223.0
327,327,222.0
328,328,222.0
329,329,781.0
330,330,223.0
331,331,223.0
332,332,223.0
333,333,223.0
334,334,223.0
335,335,223.0
336,336,223.0
337,337,223.0
338,338,223.0
339,339,223.0
340,340,222.0
341,341,811.0
342,342,224.0
343,343,222.0
344,344,223.0
345,345,223.0
346,346,222.0
347,347,823.0
348,348,223.0
349,349,223.0
350,350,223.0
351,351,223.0
352,352,223.0
353,353,223.0
354,354,222.0
355,355,841.0
356,356,223.0
357,357,223.0
358,358,223.0
359,359,223.0
360,360,222.0
361,361,853.0
362,362,223.0
363,363,224.0
364,364,224.0
365,365,223.0
366,366,222.0
367,367,865.0
368,368,223.0
369,369,223.0
370,370,223.0
371,371,223.0
372,372,223.0
373,373,878.0
374,374,224.0
375,375,223.0
376,376,223.0
377,377,224.0
378,378,223.0
379,379,223.0
380,380,223.0
381,381,223.0
382,382,222.0
383,383,901.0
384,384,223.0
385,385,223.0
386,386,222.0
387,387,907.0
388,388,223.0
389,389,223.0
390,390,223.0
391,391,224.0
392,392,223.0
393,393,223.0
394,394,764.0
395,395,224.0
396,396,223.0
397,397,222.0
398,398,222.0
399,399,223.0
400,400,223.0
401,401,223.0
402,402,223.0
403,403,947.0
404,404,224.0
405,405,224.0
406,406,223.0
407,407,223.0
408,408,223.0
409,409,790.0
410,410,224.0
411,411,223.0
412,412,223.0
413,413,223.0
414,414,223.0
415,415,223.0
416,416,801.0
417,417,224.0
418,418,223.0
419,419,224.0
420,420,223.0
421,421,223.0
422,422,222.0
423,423,815.0
424,424,223.0
425,425,223.0
426,426,223.0
427,427,223.0
428,428,820.0
429,429,224.0
430,430,223.0
431,431,222.0
432,432,222.0
433,433,223.0
434,434,223.0
435,435,828.0
436,436,223.0
437,437,223.0
438,438,223.0
439,439,223.0
440,440,223.0
441,441,223.0
442,442,223.0
443,443,846.0
444,444,224.0
445,445,223.0
446,446,223.0
447,447,222.0
448,448,849.0
449,449,223.0
450,450,224.0
451,451,224.0
452,452,223.0
453,453,223.0
454,454,854.0
455,455,224.0
456,456,224.0
457,457,224.0
458,458,223.0
459,459,222.0
460,460,866.0
461,461,223.0
462,462,223.0
463,463,222.0
464,464,223.0
465,465,223.0
466,466,223.0
467,467,223.0
468,468,223.0
469,469,222.0
470,470,222.0
471,471,223.0
472,472,223.0
473,473,223.0
474,474,223.0
475,475,223.0
476,476,223.0
477,477,224.0
478,478,223.0
479,479,223.0
480,480,222.0
481,481,223.0
482,482,224.0
483,483,224.0
484,484,223.0
485,485,222.0
486,486,222.0
487,487,223.0
488,488,222.0
489,489,223.0
490,490,224.0
491,491,223.0
492,492,223.0
493,493,223.0
494,494,223.0
495,495,223.0
496,496,222.0
497,497,223.0
498,498,222.0
499,499,223.0
